id_str,screen_name,name,followers_count,friends_count
95092020,jordanbpeterson,Dr Jordan B Peterson,4738279,1459
39344374,DonaldJTrumpJr,Donald Trump Jr.,10527852,1908
18584875,hodgetwins,Hodgetwins,2224233,2408
4914384040,TheBabylonBee,The Babylon Bee,3136723,8
18166778,Jim_Jordan,Rep. Jim Jordan,4550315,3717
232901331,dbongino,Dan Bongino,4717138,1661
427089628,lexfridman,Lex Fridman,3115778,74
1201670995435646976,laurenboebert,Lauren Boebert,2964366,1343
91882544,DineshDSouza,Dinesh D'Souza,3664938,7342
1344356576786866176,RepMTG,Rep. Marjorie Taylor Greene🇺🇸,2727902,392
17995040,benshapiro,Ben Shapiro,6183922,364
34743251,SpaceX,SpaceX,31936292,102
33608041,ksorbs,Kevin Sorbo,1822190,436
1467931973616386052,ThisIsKyleR,Kyle Rittenhouse,1101597,505
18266688,TomFitton,Tom Fitton,2408678,4093
216881337,RandPaul,Rand Paul,5004507,657
23022687,tedcruz,Ted Cruz,6204279,5398
13298072,Tesla,Tesla,21064538,52
259001548,kayleighmcenany,Kayleigh McEnany,3447064,2598
20545835,NEWSMAX,NEWSMAX,2514433,712
1711496367237890048,viewer563951,viewer,0,1
970352554524655617,Pop67497416,popo@wijaya,9,1
1291587632992907276,Popo86057135,Popo,0,1
1711494804201508864,RudyRooter,Rudy,0,16
1711496133988528128,hikari646595,ひかり,0,2
1711496275491696640,CherylThom98280,Cheryl Thompson,0,3
1280490499254579202,arikrwn,Tanpa Nama,6,10
1711495729351688192,TammyHall434932,Tammy Hall,0,1
1711495912285949952,hgatewood42164,Heather Gatewood,0,2
1659630343312510976,GerlemanL457,Massage In Dubai The Queen,0,4
1711496245221482496,Aero35928,Aero,0,3
1711496362204741632,JamesLee1549506,James Lee,0,1
1711496247977119744,Hawk1294355,Hawk,0,3
1711495883689529344,N27YuJKRU748553,持续小赢,0,1
1711495673349070848,j_horvat,JHorvat,0,8
1711496317871042560,adu154582,adu,0,3
1711496182898569216,sAJLlFeQpE7260,翼 時吉,0,0
1711495940119330816,gasgod101,gasgod@roadrunner.com,0,1
1711496014383767552,davos4289212240,davos,0,4
1711235434859134976,PedroMontesNYL,Pedro Montes,0,6
1711496137738211328,MSmith13238,Michael Smith,0,4
1711496359130337280,GraceMoore93691,Grace Moore,0,1
1711496462725533696,elizandrad90073,elizandrados,0,1
1711495689971085312,curbyton,jeff currington,0,1
1711496038098313216,Rettttoo,Retto,0,15
1711496334048415744,kaeinazs,kaeinazs,0,1
1711496080817336320,kyouka89550,キョウカ,0,2
1711494253246070784,luvisharma820,Luvi Sharma,0,2
1711496443716857856,tomaszafal92302,tomaszafal,0,1
1711496178213249024,UniverseBu30812,Universe Bullet,0,3
1711495626083434497,ChinexEmma34206,chinex emma,0,7
1711496330260951040,Jjjajajajj70658,Jjjajajajj,0,1
1711496207535915008,LawrenceJo56715,Lawrence Johnson,0,7
1690019395421007872,Kslay5566,Kolton Slay,0,10
1711496094788513792,logan4609637895,logan,0,3
1711496160790167552,Jame55781273225,Jame,0,1
1711496324833492992,Bart162706,Bart,0,1
1711496170801934337,CourtneyMa36633,Courtney Mann,0,1
1711492548995305472,dubstheboss,Matt Doss,0,11
1711496306836021249,coldersy37065,Coldersy,0,0
1711496306034696192,hosxhachoc77373,Hosxhachoc,0,1
1711496183808495616,SClaws61324,Santa Claws,0,3
1711496340671193089,Ryan75557524566,Ryan,0,1
3028646763,Narendr20193919,Narendra kumar,4,15
1711496097472946176,wa23741,m,0,5
1711496245506674688,John17411455105,John,0,2
1711496026509529088,Pwvygal,Z,0,1
1711496186404704256,LeslieLeon45445,Leslie Leon,0,3
1711494415666106369,Zaharaddeen1231,Zaharaddeen Aliyu Isah,0,3
1711496315488575488,clCATHRYnmayN,CATHRYN,0,10
1711496158248415232,assassin85762,Assassin’s Creed,0,3
1710030304423845888,f64932,fear factor,4,85
1711496169874972672,Burn205835,Burn,0,3
1294295727871426560,CandySathiya,Sathiya Candy,13,17
1246488951466020864,Akash91468250,Akash,1,60
778850261444026368,Revanth143NTR,Revanth,7,79
1711496067554979840,TommyCoope83033,Tommy Cooper,0,5
1711496223448764416,nntngxushn2534,南通学生妹 柒柒,0,1
1711495962508550144,diaatalaat333,diaa talaat,0,8
1711496137449111552,jay219480_jay,Sandi Jay,0,1
1711495161614671872,Caos_del_85,opticascentauro@gmail.com,0,1
1594602806165528576,AbiyaPatrick19,Nkulu Patrick,3,91
1711496163902345218,kerttu_lum9211,Kerttu Lumi,0,1
1711496256395026434,BiaCsoma40160,Bia Csoma,0,1
1560702093345832960,Blackstonee55,Fatih Karatas,0,3
1686548474030919680,AdamaAllas26160,Allassane adama Ba,0,25
1711496277416955904,shane41308,Shane Sinclair,0,4
391794303,JaimeVegaV,Jaime Vega,33,478
1711496348090929153,vilmarlinh62112,vilmarlinhare,0,1
1711495261955235840,jessnforbes,Jess Forbes (JustJess),0,1
1711495970653933568,yksll4312,Semih Yüksel,0,3
1711495926609477633,MWeisky388,Mike Weisky,0,5
1711495719314681857,Santana480,Ana Santana,0,0
1711495964127526912,rihon219399,リホン,0,2
1711496032352182272,BilalAyhan84928,Bilal Ayhan,0,4
1711496153982779392,Alt4clnwrsHi,Hi,0,2
1711496318672138241,rayssavazd27521,rayssavazda3,0,1
1711496079374503937,destructa_86895,Destructa X,0,3
1704851512982470656,MohAdel77,MOH adel,0,220
1711495652545314817,mbalehtle127269,mbalehtle,0,15
